active$ctlevel_id$ctunitTitle$ctunitId$id
1$9$Ingenieria En Gestion De Calidad Y Ambiente  (  Ip Inacap )$I100M2007N1$238
1$10$Pedagogia Tecnico Profesional Informatica  (  Ip Inacap )$I100M2007N100$239
1$11$Ingenieria En Informatica  (  Ip Inacap )$I100M2007N101$240
1$11$Ingenieria En Gestion Informatica  (  Ip Inacap )$I100M2007N107$241
1$11$Ingenieria En Informatica  (  Ip Inacap )$I100M2007N108$242
1$9$Ingenieria En Prevencion De Riesgos  (  Ip Inacap )$I100M2007N109$243
1$12$Ingenieria En Administracion De Empresas Marketing  (  Ip Inacap )$I100M2007N110$244
1$12$Ingenieria En Administracion De Empresas Mencion Finanzas  (  Ip Inacap )$I100M2007N111$245
1$11$Ingenieria En Gestion Informatica  (  Ip Inacap )$I100M2007N112$246
1$11$Ingenieria En Informatica  (  Ip Inacap )$I100M2007N113$247
1$10$Pedagogia Tecnico Profesional Informatica  (  Ip Inacap )$I100M2007N114$248
1$9$Ingenieria En Gestion De Calidad Y Ambiente  (  Ip Inacap )$I100M2007N118$249
1$13$Ingenieria En Manufactura Industrial Metalmecanica  (  Ip Inacap )$I100M2007N119$250
1$9$Ingenieria En Prevencion De Riesgos  (  Ip Inacap )$I100M2007N120$251
1$13$Ingenieria En Electricidad Proyectos De Instalaciones Electricas  (  Ip Inacap )$I100M2007N122$252
1$9$Ingenieria En Prevencion De Riesgos  (  Ip Inacap )$I100M2007N124$253
1$9$Administracion De Empresas Turisticas  (  Ip Inacap )$I100M2007N125$254
1$9$Administracion De Empresas Turisticas Mencion Turismo Aventura  (  Ip Inacap )$I100M2007N126$255
1$9$Administracion De Empresas Turisticas, Mencion Viajes Y Turismo  (  Ip Inacap )$I100M2007N127$256
1$9$Administracion En Alimentacion Colectiva  (  Ip Inacap )$I100M2007N128$257
1$9$Administracion En Produccion Gastronomica Mencion Cocina Internacional  (  Ip Inacap )$I100M2007N129$258
1$14$Servicio Social  (  Ip Inacap )$I100M2007N13$259
1$9$Administracion En Produccion Gastronomica Mencion Pasteleria Internacional  (  Ip Inacap )$I100M2007N130$260
1$9$Administracion Gastronomica Internacional  (  Ip Inacap )$I100M2007N131$261
1$9$Administracion Hotelera Internacional  (  Ip Inacap )$I100M2007N132$262
1$9$Administracion Hotelera Profesional Mencion Alimentos Y Bebidas  (  Ip Inacap )$I100M2007N133$263
1$9$Administracion Hotelera Profesional Mencion Recepcion Y Habitaciones  (  Ip Inacap )$I100M2007N134$264
1$13$Arquitectura Del Paisaje  (  Ip Inacap )$I100M2007N135$265
1$12$Comunicacion Empresarial Mencion Marketing Y Relaciones Publicas  (  Ip Inacap )$I100M2007N136$266
1$12$Comunicacion Empresarial Mencion Recursos Humanos  (  Ip Inacap )$I100M2007N137$267
1$12$Comunicacion Empresarial Sin Mencion  (  Ip Inacap )$I100M2007N138$268
1$15$Comunicacion Escenica Y Teatro  (  Ip Inacap )$I100M2007N139$269
1$13$Construccion Civil Mencion Edificacion  (  Ip Inacap )$I100M2007N140$270
1$13$Construccion Civil Mencion Obras Civiles  (  Ip Inacap )$I100M2007N141$271
